ligand_name,file_path,mode,affinity_kcal_mol
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,1,-5.922
218128384,../results/docking_outputs/218128384_docked.pdbqt,1,-5.63
218128384,../results/docking_outputs/218128384_docked.pdbqt,2,-5.375
218128384,../results/docking_outputs/218128384_docked.pdbqt,3,-5.276
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,2,-5.259
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,3,-5.253
218128384,../results/docking_outputs/218128384_docked.pdbqt,4,-5.195
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,4,-5.065
218128384,../results/docking_outputs/218128384_docked.pdbqt,5,-5.02
218128384,../results/docking_outputs/218128384_docked.pdbqt,6,-4.902
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,5,-4.897
218128384,../results/docking_outputs/218128384_docked.pdbqt,7,-4.882
1538784,../results/docking_outputs/1538784_docked.pdbqt,1,-4.834
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,6,-4.797
218128384,../results/docking_outputs/218128384_docked.pdbqt,8,-4.773
218128384,../results/docking_outputs/218128384_docked.pdbqt,9,-4.761
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,7,-4.744
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,8,-4.722
2325861374,../results/docking_outputs/2325861374_docked.pdbqt,9,-4.648
1538784,../results/docking_outputs/1538784_docked.pdbqt,2,-4.619
1538784,../results/docking_outputs/1538784_docked.pdbqt,3,-4.501
1538784,../results/docking_outputs/1538784_docked.pdbqt,4,-4.413
1538784,../results/docking_outputs/1538784_docked.pdbqt,5,-4.258
1538784,../results/docking_outputs/1538784_docked.pdbqt,6,-4.156
1538784,../results/docking_outputs/1538784_docked.pdbqt,7,-4.148
1538784,../results/docking_outputs/1538784_docked.pdbqt,8,-4.029
1538784,../results/docking_outputs/1538784_docked.pdbqt,9,-3.991
